01073,"CEYZERIEU ",1680293,"10,64",178784,"- ","    .     ","- ",1680312,"3,62",60817,"- ","      .   ","- "
01074,"CHALAMONT ",2658265,"15,83",420797,"- ","    .     ","- ",2654182,"4,76",126316,2450032,"0,177",4350
01075,"CHALEINS ",1298893,"11,27",146384,"- ","    .     ","- ",1272687,"6,45",82090,1261502,"0,177",2242
01076,"CHALEY ",216338,"19,28",41708,"- ","    .     ","- ",215456,"5,64",12157,"- ","      .   ","- "
01077,"CHALLES-LA-MONTAGNE ",213363,"14,7",31366,"- ","    .     ","- ",203635,"6,59",13425,208901,"0,177",369
01078,"CHALLEX ",2792767,"12,85",358866,"- ","    .     ","- ",2988704,"3,24",96825,2645284,"0,177",4693
01079,"CHAMPAGNE-EN-VALROMEY ",881984,"11,33",99930,"- ","    .     ","- ",881625,"5,84",51486,"- ","      .   ","- "
01080,"CHAMPDOR ",602543,"10,3",62061,"- ","    .     ","- ",595559,"6,31",37588,"- ","      .   ","- "
01081,"CHAMPFROMIER ",797594,"18,89",150655,"- ","    .     ","- ",797594,"2,63",20972,729771,"0,177",1295
01082,"CHANAY ",795061,"14,29",113616,"- ","    .     ","- ",795360,"2,63",20920,766375,"0,177",1354
01083,"CHANEINS ",986663,"14,27",140795,"- ","    .     ","- ",986663,"2,29",22591,951761,"0,177",1693
01084,"CHANOZ CHATENAY ",769901,"15,53",119556,"- ","    .     ","- ",770660,"3,01",23197,776215,"0,177",1368
01085,"LA CHAPELLE DU CHATELARD ",413778,"10,47",43324,"- ","    .     ","- ",458574,"6,82",31273,413778,"0,177",734
01087,"CHARIX ",366881,"5,45",19994,"- ","    .     ","- ",361854,"7,02",25408,362204,"0,177",643
01088,"CHARNOZ SUR AIN ",1176229,"8,94",105157,"- ","    .     ","- ",1183706,"6,3",74580,1176229,"0,177",2078
01089,"CHATEAU GAILLARD ",1953789,"12,14",237189,"- ","    .     ","- ",2259179,"6,3",142337,1877012,"0,177",3325
01090,"CHATENAY ",434616,"20,58",89440,"- ","    .     ","- ",444957,"4,76",21182,413554,"0,177",727
01091,"CHATILLON EN MICHAILLE ",4348558,"13,54",588779,"- ","    .     ","- ",4294688,"2,63",112941,3750100,"0,177",6630
01092,"CHATILLON LA PALUD ",1813672,"17,04",309030,"- ","    .     ","- ",1819269,"4,76",86610,1796009,"0,177",3182
01093,"CHATILLON / CHALARONNE ",6202238,"16,94",1050649,"- ","    .     ","- ",6202238,"2,29",142014,5463195,"0,177",9666
01094,"CHAVANNES SUR REYSSOUZE ",819123,"13,07",107055,"- ","    .     ","- ",818928,"6,83",55936,800246,"0,177",1407
01095,"CHAVANNES SUR SURAN ",697873,"10,22",71327,"- ","    .     ","- ",779666,"6,33",49349,670853,"0,177",1191
01096,"CHAVEYRIAT. ",1000104,"14,93",149312,"- ","    .     ","- ",1000741,"3,01",30124,992087,"0,177",1768
01097,"CHAVORNAY ",298465,"13,43",40091,"- ","    .     ","- ",298070,"5,84",17415,"- ","      .   ","- "
01098,"CHAZEY BONS ",1277910,"9,27",118454,"- ","    .     ","- ",1272530,"3,62",46058,"- ","      .   ","- "
01099,"CHAZEY SUR AIN ",1601568,"9,17",146863,"- ","    .     ","- ",1848478,"6,3",116463,1571355,"0,177",2761
01100,"CHEIGNIEU LA BALME ",183228,"14,17",25961,"- ","    .     ","- ",182826,"3,62",6618,"- ","      .   ","- "
01101,"CHEVILLARD ",176043,"8,62",15179,"- ","    .     ","- ",188585,"7,02",13242,176043,"0,177",311
01102,"CHEVROUX ",859819,"14,07",120978,"- ","    .     ","- ",858900,"6,83",58666,844536,"0,177",1489
01103,"CHEVRY ",2749723,"16,03",440785,"- ","    .     ","- ",3250427,"3,24",105314,2669197,"0,177",4723
01104,"CHEZERY-FORENS ",623887,"14,77",92149,"- ","    .     ","- ",630816,"3,24",20439,595531,"0,177",1051
01105,"CIVRIEUX ",1825867,"10,49",191534,"- ","    .     ","- ",1831409,"6,38",116848,1746447,"0,177",3093
01106,"CIZE ",167488,"5,12",8577,"- ","    .     ","- ",161954,"6,29",10190,164242,"0,177",290
01107,"CLEYZIEU ",154587,"16,19",25027,"- ","    .     ","- ",154218,"5,64",8697,"- ","      .   ","- "
