code_insee, nom_commune, base_nette_commune, taux_commune, produit_commune, base_nette_syndicat, taux_syndicat, produit_syndicat, base_nette_interco, taux_interco, produit_interco, base_nette_tse, taux_tse, produit_tse
56061,"LA GACILLY ","- ","       .  ","- ","- ","    .     ","- ",3492830,"18,63",650692,3492830,"0,773",26998
56062,"GAVRES ","- ","       .  ","- ","- ","    .     ","- ",46969,"24,79",11648,46969,"0,773",362
56063,"GESTEL ","- ","       .  ","- ","- ","    .     ","- ",679826,"24,79",168537,679826,"0,773",5252
56064,"GLENAC ","- ","       .  ","- ","- ","    .     ","- ",42109,"18,63",7843,42109,"0,773",326
56065,"GOURHEL ","- ","       .  ","- ","- ","    .     ","- ",10466,"25,81",2701,10466,"0,773",81
56066,"GOURIN ","- ","       .  ","- ","- ","    .     ","- ",1843246,"20,65",380593,1843246,"0,773",14256
56067,"GRANDCHAMP ","- ","       .  ","- ","- ","    .     ","- ",973773,"22,66",220649,973773,"0,773",7513
56068,"LA GREE SAINT LAURENT ","- ","       .  ","- ","- ","    .     ","- ",5447,"22,81",1241,5447,"0,773",43
56069,"GROIX ","- ","       .  ","- ","- ","    .     ","- ",398217,"24,79",98739,398217,"0,773",3074
56070,"GUEGON ","- ","       .  ","- ","- ","    .     ","- ",686194,"22,81",156511,686194,"0,773",5295
56071,"GUEHENNO ","- ","       .  ","- ","- ","    .     ","- ",77723,"25,22",19599,77723,"0,773",605
56072,"GUELTAS ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","20,98","N.C. ","N.C. ","0,773","N.C. "
56073,"GUEMENE SUR SCORFF ","- ","       .  ","- ","- ","    .     ","- ",471390,"20,65",97328,471390,"0,773",3649
56074,"GUENIN ","- ","       .  ","- ","- ","    .     ","- ",576515,"25,59",147534,576515,"0,773",4455
56075,"GUER ","- ","       .  ","- ","- ","    .     ","- ",3896875,"25,76",1003835,3896875,"0,773",30149
56076,"GUERN ","- ","       .  ","- ","- ","    .     ","- ",106729,"20,98",22395,106729,"0,773",835
56077,"LE GUERNO ","- ","       .  ","- ","- ","    .     ","- ",217454,"21,51",46776,217454,"0,773",1682
56078,"GUIDEL ","- ","       .  ","- ","- ","    .     ","- ",3114078,"24,79",772050,3114078,"0,773",24051
56079,"GUILLAC ","- ","       .  ","- ","- ","    .     ","- ",200871,"22,81",45813,200871,"0,773",1553
56080,"GUILLIERS ","- ","       .  ","- ","- ","    .     ","- ",71946,"19,12",13768,71946,"0,773",551
56081,"GUISCRIFF ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","20,65","N.C. ","N.C. ","0,773","N.C. "
56082,"HELLEAN ","- ","       .  ","- ","- ","    .     ","- ",13272,"22,81",3025,13272,"0,773",102
56083,"HENNEBONT ","- ","       .  ","- ","- ","    .     ","- ",3422255,"24,79",848437,3422255,"0,773",26436
56084,"LE HEZO ","- ","       .  ","- ","- ","    .     ","- ",162110,"24,01",38918,162110,"0,773",1253
56085,"HOEDIC ","- ","       .  ","- ","- ","    .     ","- ",22006,"23,19",5104,22006,"0,773",169
56086,"HOUAT ","- ","       .  ","- ","- ","    .     ","- ",42606,"22,25",9476,42606,"0,773",333
56087,"ILE AUX MOINES ","- ","       .  ","- ","- ","    .     ","- ",236998,"24,01",56899,236998,"0,773",1826
56088,"ILE D'ARZ ","- ","       .  ","- ","- ","    .     ","- ",89376,"24,01",21455,89376,"0,773",690
56089,"INGUINIEL ","- ","       .  ","- ","- ","    .     ","- ",142330,"22,34",31797,142330,"0,773",1091
56090,"INZINZAC LOCHRIST ","- ","       .  ","- ","- ","    .     ","- ",574442,"24,79",142422,574442,"0,773",4437
56091,"JOSSELIN ","- ","       .  ","- ","- ","    .     ","- ",1734805,"22,81",395688,1734805,"0,773",13395
56092,"KERFOURN ","- ","       .  ","- ","- ","    .     ","- ",37448,"20,98",7861,37448,"0,773",296
56093,"KERGRIST ","- ","       .  ","- ","- ","    .     ","- ",129491,"20,98",27174,129491,"0,773",1001
56094,"KERVIGNAC ",2182631,"18,5",403770,"- ","    .     ","- ",2182631,"1,72",37603,2182631,"0,773",16849
56096,"LANDAUL ","- ","       .  ","- ","- ","    .     ","- ",705293,"21,39",150864,705293,"0,773",5455
56097,"LANDEVANT ","- ","       .  ","- ","- ","    .     ","- ",1884179,"21,39",403028,1884179,"0,773",14564
56098,"LANESTER ","- ","       .  ","- ","- ","    .     ","- ",16256393,"24,79",4030042,16256393,"0,773",125637
56099,"LANGOELAN ","- ","       .  ","- ","- ","    .     ","- ",34355,"20,65",7090,34355,"0,773",267
56100,"LANGONNET ","- ","       .  ","- ","- ","    .     ","- ",194041,"20,65",40053,194041,"0,773",1502
56101,"LANGUIDIC ","- ","       .  ","- ","- ","    .     ","- ",2431802,"24,79",602873,2431802,"0,773",18792
